MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
951904803,10010173,4,2023-03-15 13:23:00,5,86,NULL
951912090,10010173,4,2023-03-15 13:26:00,6,85,NULL
951912091,10010173,4,2023-03-15 13:27:00,3,99,NULL
951912092,10010173,4,2023-03-15 13:29:00,3,88,NULL
951913267,10010173,4,2023-03-15 13:28:00,4,83,NULL
951929162,10010173,4,2023-03-15 13:30:00,6,85,NULL
951929963,10010173,4,2023-03-15 13:31:00,5,81,NULL
951931114,10010173,4,2023-03-15 13:33:00,1,86,NULL
951932273,10010173,4,2023-03-15 13:32:00,5,92,NULL
951934857,10010173,5,2023-03-15 13:29:00,2,129,NULL
951960409,10010173,5,2023-03-15 13:50:00,2,60,NULL
951946760,10010173,4,2023-03-15 13:42:00,3,107,NULL
951946762,10010173,5,2023-03-15 13:43:00,1,56,NULL
951960416,10010173,3,2023-03-15 13:52:00,1,77,NULL
951960410,10010173,6,2023-03-15 13:52:00,1,88,NULL
951960412,10010173,4,2023-03-15 13:52:00,2,90,NULL
951960413,10010173,4,2023-03-15 13:51:00,5,78,NULL
951960419,10010173,4,2023-03-15 13:53:00,2,93,NULL
951960406,10010173,4,2023-03-15 13:50:00,3,79,NULL
951967182,10010173,3,2023-03-15 13:58:00,1,101,NULL
951947503,10010173,3,2023-03-15 13:39:00,1,89,NULL
951947505,10010173,4,2023-03-15 13:40:00,4,96,NULL
951967167,10010173,4,2023-03-15 13:54:00,2,78,NULL
951967168,10010173,5,2023-03-15 13:54:00,1,69,NULL
951967170,10010173,4,2023-03-15 13:56:00,5,92,NULL
951967172,10010173,3,2023-03-15 13:56:00,1,85,NULL
951967173,10010173,4,2023-03-15 13:57:00,6,79,NULL
951967176,10010173,4,2023-03-15 13:55:00,5,93,NULL
951967178,10010173,4,2023-03-15 13:58:00,8,86,NULL
951967181,10010173,4,2023-03-15 13:59:00,2,97,NULL
952105634,10010173,4,2023-03-15 14:03:00,7,89,NULL
952094703,10010173,4,2023-03-15 14:04:00,3,84,NULL
952094876,10010173,4,2023-03-15 14:01:00,3,99,NULL
952105636,10010173,5,2023-03-15 14:04:00,1,62,NULL
952105637,10010173,5,2023-03-15 14:03:00,1,67,NULL
951954148,10010173,4,2023-03-15 13:45:00,3,109,NULL
951954150,10010173,4,2023-03-15 13:46:00,5,88,NULL
952094880,10010173,4,2023-03-15 14:05:00,6,113,NULL
952094882,10010173,5,2023-03-15 14:05:00,1,95,NULL
951954152,10010173,4,2023-03-15 13:47:00,5,73,NULL
952105580,10010173,4,2023-03-15 14:02:00,4,78,NULL
952105583,10010173,3,2023-03-15 14:06:00,1,77,NULL
952105584,10010173,4,2023-03-15 14:06:00,5,93,NULL
952105638,10010173,3,2023-03-15 14:04:00,1,63,NULL
