MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
892741587,10000028,3,2023-02-10 11:55:00,3,NULL,NULL
892741588,10000028,4,2023-02-10 11:55:00,255,NULL,NULL
892741589,10000028,5,2023-02-10 11:55:00,24,NULL,NULL
892741590,10000028,6,2023-02-10 11:55:00,1,NULL,NULL
892746409,10000028,3,2023-02-10 12:00:00,3,NULL,NULL
892746410,10000028,4,2023-02-10 12:00:00,273,NULL,NULL
892746411,10000028,5,2023-02-10 12:00:00,24,NULL,NULL
892746412,10000028,6,2023-02-10 12:00:00,3,NULL,NULL
892751899,10000028,3,2023-02-10 12:05:00,3,NULL,NULL
892751900,10000028,4,2023-02-10 12:05:00,245,NULL,NULL
892751901,10000028,5,2023-02-10 12:05:00,22,NULL,NULL
892751902,10000028,6,2023-02-10 12:05:00,0,NULL,NULL
892756339,10000028,3,2023-02-10 12:10:00,7,NULL,NULL
892756341,10000028,4,2023-02-10 12:10:00,295,NULL,NULL
892756343,10000028,5,2023-02-10 12:10:00,23,NULL,NULL
892756346,10000028,6,2023-02-10 12:10:00,1,NULL,NULL
892762478,10000028,3,2023-02-10 12:15:00,2,NULL,NULL
892762479,10000028,4,2023-02-10 12:15:00,298,NULL,NULL
892762480,10000028,5,2023-02-10 12:15:00,24,NULL,NULL
892762481,10000028,6,2023-02-10 12:15:00,2,NULL,NULL
892766537,10000028,3,2023-02-10 12:20:00,6,NULL,NULL
892766538,10000028,4,2023-02-10 12:20:00,268,NULL,NULL
892766539,10000028,5,2023-02-10 12:20:00,22,NULL,NULL
892766540,10000028,6,2023-02-10 12:20:00,1,NULL,NULL
892771944,10000028,3,2023-02-10 12:25:00,2,NULL,NULL
892771945,10000028,4,2023-02-10 12:25:00,295,NULL,NULL
892771946,10000028,5,2023-02-10 12:25:00,12,NULL,NULL
892771947,10000028,6,2023-02-10 12:25:00,0,NULL,NULL
892775950,10000028,3,2023-02-10 12:30:00,6,NULL,NULL
892775951,10000028,4,2023-02-10 12:30:00,299,NULL,NULL
892775952,10000028,5,2023-02-10 12:30:00,16,NULL,NULL
892775953,10000028,6,2023-02-10 12:30:00,0,NULL,NULL
892781233,10000028,3,2023-02-10 12:35:00,2,NULL,NULL
892781234,10000028,4,2023-02-10 12:35:00,287,NULL,NULL
892781235,10000028,5,2023-02-10 12:35:00,20,NULL,NULL
892781236,10000028,6,2023-02-10 12:35:00,1,NULL,NULL
892785148,10000028,3,2023-02-10 12:40:00,6,NULL,NULL
892785149,10000028,4,2023-02-10 12:40:00,269,NULL,NULL
892785150,10000028,5,2023-02-10 12:40:00,20,NULL,NULL
892785151,10000028,6,2023-02-10 12:40:00,2,NULL,NULL
892790857,10000028,3,2023-02-10 12:45:00,4,NULL,NULL
892790858,10000028,4,2023-02-10 12:45:00,229,NULL,NULL
892790859,10000028,5,2023-02-10 12:45:00,24,NULL,NULL
892790860,10000028,6,2023-02-10 12:45:00,0,NULL,NULL
892805092,10000028,3,2023-02-10 12:50:00,5,NULL,NULL
892810104,10000028,4,2023-02-10 12:50:00,292,NULL,NULL
892810184,10000028,5,2023-02-10 12:50:00,27,NULL,NULL
892810185,10000028,6,2023-02-10 12:50:00,0,NULL,NULL
892866243,10000028,3,2023-02-10 12:55:00,1,NULL,NULL
892866244,10000028,4,2023-02-10 12:55:00,260,NULL,NULL
892866245,10000028,5,2023-02-10 12:55:00,10,NULL,NULL
892866246,10000028,6,2023-02-10 12:55:00,0,NULL,NULL
892872034,10000028,3,2023-02-10 13:00:00,3,NULL,NULL
892872035,10000028,4,2023-02-10 13:00:00,231,NULL,NULL
892872036,10000028,5,2023-02-10 13:00:00,21,NULL,NULL
892872037,10000028,6,2023-02-10 13:00:00,1,NULL,NULL
892877954,10000028,3,2023-02-10 13:05:00,3,NULL,NULL
892877955,10000028,4,2023-02-10 13:05:00,314,NULL,NULL
892877956,10000028,5,2023-02-10 13:05:00,19,NULL,NULL
892877957,10000028,6,2023-02-10 13:05:00,1,NULL,NULL
892882634,10000028,3,2023-02-10 13:10:00,3,NULL,NULL
892882635,10000028,4,2023-02-10 13:10:00,277,NULL,NULL
892882636,10000028,5,2023-02-10 13:10:00,20,NULL,NULL
892882637,10000028,6,2023-02-10 13:10:00,1,NULL,NULL
892888131,10000028,3,2023-02-10 13:15:00,3,NULL,NULL
892888132,10000028,4,2023-02-10 13:15:00,305,NULL,NULL
892888133,10000028,5,2023-02-10 13:15:00,19,NULL,NULL
892888134,10000028,6,2023-02-10 13:15:00,1,NULL,NULL
892892532,10000028,3,2023-02-10 13:20:00,8,NULL,NULL
892892533,10000028,4,2023-02-10 13:20:00,309,NULL,NULL
892892534,10000028,5,2023-02-10 13:20:00,21,NULL,NULL
892892535,10000028,6,2023-02-10 13:20:00,0,NULL,NULL
892895702,10000028,5,2023-02-10 13:25:00,22,NULL,NULL
892896790,10000028,3,2023-02-10 13:25:00,4,NULL,NULL
892897585,10000028,4,2023-02-10 13:25:00,290,NULL,NULL
892897586,10000028,6,2023-02-10 13:25:00,1,NULL,NULL
892901596,10000028,3,2023-02-10 13:30:00,8,NULL,NULL
892901597,10000028,4,2023-02-10 13:30:00,367,NULL,NULL
892901598,10000028,5,2023-02-10 13:30:00,14,NULL,NULL
892901599,10000028,6,2023-02-10 13:30:00,0,NULL,NULL
892907800,10000028,3,2023-02-10 13:35:00,3,NULL,NULL
892907801,10000028,4,2023-02-10 13:35:00,330,NULL,NULL
892907802,10000028,5,2023-02-10 13:35:00,25,NULL,NULL
892907803,10000028,6,2023-02-10 13:35:00,1,NULL,NULL
892911599,10000028,3,2023-02-10 13:40:00,4,NULL,NULL
892911600,10000028,4,2023-02-10 13:40:00,328,NULL,NULL
892911601,10000028,5,2023-02-10 13:40:00,24,NULL,NULL
892911602,10000028,6,2023-02-10 13:40:00,3,NULL,NULL
892916145,10000028,3,2023-02-10 13:45:00,0,NULL,NULL
892916146,10000028,4,2023-02-10 13:45:00,371,NULL,NULL
892916147,10000028,5,2023-02-10 13:45:00,16,NULL,NULL
892916148,10000028,6,2023-02-10 13:45:00,2,NULL,NULL
892927792,10000028,3,2023-02-10 13:50:00,3,NULL,NULL
892929569,10000028,4,2023-02-10 13:50:00,351,NULL,NULL
892929570,10000028,5,2023-02-10 13:50:00,24,NULL,NULL
892929571,10000028,6,2023-02-10 13:50:00,1,NULL,NULL
