MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
943390928,10010173,4,2023-03-10 16:19:00,3,86,NULL,2023-03-10 16:19:00
943396453,10010173,4,2023-03-10 16:20:00,5,93,NULL,2023-03-10 16:20:00
943396456,10010173,4,2023-03-10 16:21:00,5,81,NULL,2023-03-10 16:21:00
943396457,10010173,4,2023-03-10 16:22:00,10,90,NULL,2023-03-10 16:22:00
943396458,10010173,3,2023-03-10 16:22:00,2,95,NULL,2023-03-10 16:22:00
943396459,10010173,5,2023-03-10 16:22:00,1,47,NULL,2023-03-10 16:22:00
943396461,10010173,4,2023-03-10 16:23:00,4,79,NULL,2023-03-10 16:23:00
943396463,10010173,4,2023-03-10 16:24:00,10,94,NULL,2023-03-10 16:24:00
943401250,10010173,4,2023-03-10 16:25:00,2,78,NULL,2023-03-10 16:25:00
943400670,10010173,4,2023-03-10 16:26:00,6,88,NULL,2023-03-10 16:26:00
943401249,10010173,4,2023-03-10 16:27:00,8,85,NULL,2023-03-10 16:27:00
943402474,10010173,4,2023-03-10 16:28:00,3,89,NULL,2023-03-10 16:28:00
943404283,10010173,4,2023-03-10 16:29:00,8,91,NULL,2023-03-10 16:29:00
943404285,10010173,4,2023-03-10 16:30:00,4,98,NULL,2023-03-10 16:30:00
943404287,10010173,4,2023-03-10 16:31:00,10,84,NULL,2023-03-10 16:31:00
943404286,10010173,6,2023-03-10 16:31:00,1,80,NULL,2023-03-10 16:31:00
943404292,10010173,5,2023-03-10 16:31:00,1,88,NULL,2023-03-10 16:31:00
943404291,10010173,3,2023-03-10 16:32:00,2,101,NULL,2023-03-10 16:32:00
943404290,10010173,4,2023-03-10 16:32:00,9,89,NULL,2023-03-10 16:32:00
943404295,10010173,3,2023-03-10 16:33:00,1,78,NULL,2023-03-10 16:33:00
943404293,10010173,4,2023-03-10 16:33:00,5,77,NULL,2023-03-10 16:33:00
943404296,10010173,4,2023-03-10 16:34:00,3,90,NULL,2023-03-10 16:34:00
943410611,10010173,4,2023-03-10 16:35:00,2,90,NULL,2023-03-10 16:35:00
943411687,10010173,4,2023-03-10 16:36:00,7,90,NULL,2023-03-10 16:36:00
943410610,10010173,5,2023-03-10 16:36:00,1,67,NULL,2023-03-10 16:36:00
943409723,10010173,4,2023-03-10 16:37:00,2,85,NULL,2023-03-10 16:37:00
943409725,10010173,4,2023-03-10 16:38:00,7,75,NULL,2023-03-10 16:38:00
943414053,10010173,4,2023-03-10 16:39:00,9,90,NULL,2023-03-10 16:39:00
943414055,10010173,4,2023-03-10 16:40:00,8,96,NULL,2023-03-10 16:40:00
943414056,10010173,4,2023-03-10 16:41:00,7,92,NULL,2023-03-10 16:41:00
943414058,10010173,4,2023-03-10 16:42:00,13,91,NULL,2023-03-10 16:42:00
943414059,10010173,6,2023-03-10 16:42:00,1,75,NULL,2023-03-10 16:42:00
943414060,10010173,3,2023-03-10 16:42:00,1,80,NULL,2023-03-10 16:42:00
943414061,10010173,5,2023-03-10 16:42:00,1,91,NULL,2023-03-10 16:42:00
943414064,10010173,4,2023-03-10 16:43:00,3,87,NULL,2023-03-10 16:43:00
943414072,10010173,3,2023-03-10 16:44:00,1,81,NULL,2023-03-10 16:44:00
